# wavelength (nm), relative flux
1.928352835283528321e+01,9.999999999206318213e-01
1.938343834383438136e+01,9.999999999217076274e-01
1.948334833483348305e+01,9.999999999225951397e-01
1.958325832583258119e+01,9.999999999233193382e-01
1.968316831683168289e+01,9.999999999238998738e-01
1.978307830783078103e+01,9.999999999243535109e-01
1.988298829882988272e+01,9.999999999246951266e-01
1.998289828982898086e+01,9.999999999249368221e-01
2.008280828082808256e+01,9.999999999250889227e-01
2.018271827182718070e+01,9.999999999251610872e-01
2.028262826282628239e+01,9.999999999251598659e-01
2.038253825382538054e+01,9.999999999250930305e-01
2.048244824482448223e+01,9.999999999249664651e-01
2.058235823582358037e+01,9.999999999247848326e-01
2.068226822682268207e+01,9.999999999245530180e-01
2.078217821782178021e+01,9.999999999242743520e-01
2.088208820882088190e+01,9.999999999239528314e-01
2.098199819981998004e+01,9.999999999235914538e-01
2.108190819081908174e+01,9.999999999231925507e-01
2.118181818181817988e+01,9.999999999227593417e-01
2.128172817281728157e+01,9.999999999222933811e-01
2.138163816381637972e+01,9.999999999217966673e-01
2.148154815481548141e+01,9.999999999212708657e-01
2.158145814581457955e+01,9.999999999207179746e-01
2.168136813681368125e+01,9.999999999201391043e-01
2.178127812781277939e+01,9.999999999195351430e-01
2.188118811881188108e+01,9.999999999189074229e-01
2.198109810981097922e+01,9.999999999182572763e-01
2.208100810081008092e+01,9.999999999175853693e-01
2.218091809180917906e+01,9.999999999168929232e-01
2.228082808280828075e+01,9.999999999161798270e-01
2.238073807380737890e+01,9.999999999154473018e-01
2.248064806480648059e+01,9.999999999146956808e-01
2.258055805580557873e+01,9.999999999139265183e-01
2.268046804680468043e+01,9.999999999131388151e-01
2.278037803780377857e+01,9.999999999123336814e-01
2.288028802880288026e+01,9.999999999115120053e-01
2.298019801980197840e+01,9.999999999106736759e-01
2.308010801080108010e+01,9.999999999098191372e-01
2.318001800180017824e+01,9.999999999089486113e-01
2.327992799279927993e+01,9.999999999080622093e-01
2.337983798379837808e+01,9.999999999071607082e-01
2.347974797479747977e+01,9.999999999062439970e-01
2.357965796579657791e+01,9.999999999053120758e-01
2.367956795679567961e+01,9.999999999043654997e-01
2.377947794779477775e+01,9.999999999034043796e-01
2.387938793879387944e+01,9.999999999024288266e-01
2.397929792979297758e+01,9.999999999014385077e-01
2.407920792079207928e+01,9.999999999004342000e-01
2.417911791179117742e+01,9.999999998994154593e-01
2.427902790279027911e+01,9.999999998983830629e-01
2.437893789378937726e+01,9.999999998973364557e-01
2.447884788478847895e+01,9.999999998962763037e-01
2.457875787578757709e+01,9.999999998952018299e-01
2.467866786678667879e+01,9.999999998941137003e-01
2.477857785778577693e+01,9.999999998930114709e-01
2.487848784878487862e+01,9.999999998918959188e-01
2.497839783978397676e+01,9.999999998907659338e-01
2.507830783078307846e+01,9.999999998896228481e-01
2.517821782178217660e+01,9.999999998884655517e-01
2.527812781278127829e+01,9.999999998872945994e-01
2.537803780378037644e+01,9.999999998861101025e-01
2.547794779477947813e+01,9.999999998849116167e-01
2.557785778577857627e+01,9.999999998836991422e-01
2.567776777677767797e+01,9.999999998824730119e-01
2.577767776777677611e+01,9.999999998812330038e-01
2.587758775877587780e+01,9.999999998799791179e-01
2.597749774977497594e+01,9.999999998787111322e-01
2.607740774077407764e+01,9.999999998774286025e-01
2.617731773177317578e+01,9.999999998761326392e-01
2.627722772277227747e+01,9.999999998748222430e-01
2.637713771377137562e+01,9.999999998734976359e-01
2.647704770477047731e+01,9.999999998721592620e-01
2.657695769576957545e+01,9.999999998708055671e-01
2.667686768676867359e+01,9.999999998694381054e-01
2.677677767776777529e+01,9.999999998680559887e-01
2.687668766876687343e+01,9.999999998666591061e-01
2.697659765976597512e+01,9.999999998652482347e-01
2.707650765076507327e+01,9.999999998638220422e-01
2.717641764176417496e+01,9.999999998623807507e-01
2.727632763276327310e+01,9.999999998609250262e-01
2.737623762376237480e+01,9.999999998594535366e-01
2.747614761476147294e+01,9.999999998579675031e-01
2.757605760576057463e+01,9.999999998564661485e-01
2.767596759675967277e+01,9.999999998549492508e-01
2.777587758775877447e+01,9.999999998534171430e-01
2.787578757875787261e+01,9.999999998518693811e-01
2.797569756975697430e+01,9.999999998503055210e-01
2.807560756075607244e+01,9.999999998487263397e-01
2.817551755175517414e+01,9.999999998471307272e-01
2.827542754275427228e+01,9.999999998455195716e-01
2.837533753375337398e+01,9.999999998438917626e-01
2.847524752475247212e+01,9.999999998422479663e-01
2.857515751575157381e+01,9.999999998405872947e-01
2.867506750675067195e+01,9.999999998389105249e-01
2.877497749774977365e+01,9.999999998372172128e-01
2.887488748874887179e+01,9.999999998355065811e-01
2.897479747974797348e+01,9.999999998337788520e-01
